P[hPa] T[K] Qv[g/kg] U[m/s] V[m/s]
569.0000 273.3082 4.5995 0 0
568.0000 273.0955 4.5429 0 0
567.0000 272.9100 4.4947 0 0
566.0000 272.7329 4.4725 0 0
565.0000 272.5995 4.4005 0 0
564.0000 272.5245 4.3700 0 0
563.0000 272.3595 4.3046 0 0
562.0000 272.2797 4.2653 0 0
561.0000 272.1785 4.2355 0 0
560.0000 272.1453 4.2304 0 0
559.0000 272.1949 4.2391 0 0
558.0000 272.2115 4.2490 0 0
557.0000 272.2726 4.2767 0 0
556.0000 272.2388 4.2695 0 0
555.0000 272.1200 4.2496 0 0
554.0000 271.9803 4.2275 0 0
553.0000 272.0067 4.3031 0 0
552.0000 272.0300 4.2838 0 0
551.0000 272.0596 4.3060 0 0
550.0000 272.0458 4.3336 0 0
549.0000 271.9100 4.3186 0 0
548.0000 271.7159 4.3042 0 0
547.0000 271.5489 4.3320 0 0
546.0000 271.4392 4.3692 0 0
545.0000 271.3855 4.4245 0 0
544.0000 271.3939 4.4587 0 0
543.0000 271.4187 4.4928 0 0
542.0000 271.5567 4.5669 0 0
541.0000 271.6096 4.5692 0 0
540.0000 271.5499 4.5726 0 0
539.0000 271.4546 4.3930 0 0
538.0000 271.3116 4.3350 0 0
537.0000 271.1992 4.3048 0 0
536.0000 271.0698 4.2726 0 0
535.0000 270.9687 4.2617 0 0
534.0000 270.8852 4.2530 0 0
533.0000 270.7874 4.2436 0 0
532.0000 270.7035 4.2109 0 0
531.0000 270.5767 4.1997 0 0
530.0000 270.4475 4.1722 0 0
529.0000 270.3156 4.1415 0 0
528.0000 270.1259 4.1031 0 0
527.0000 269.9483 4.0935 0 0
526.0000 269.8086 4.0789 0 0
525.0000 269.6267 4.0376 0 0
524.0000 269.4791 4.0162 0 0
523.0000 269.3796 4.0480 0 0
522.0000 269.2334 4.0168 0 0
521.0000 269.0718 3.9650 0 0
520.0000 268.9887 3.9294 0 0
519.0000 268.8768 3.9052 0 0
518.0000 268.7332 3.8740 0 0
517.0000 268.7571 3.9047 0 0
516.0000 268.6301 3.9407 0 0
515.0000 268.5103 3.9463 0 0
514.0000 268.4329 3.9391 0 0
513.0000 268.3255 3.8963 0 0
512.0000 268.2308 3.8620 0 0
511.0000 268.1087 3.8248 0 0
510.0000 268.0000 3.8074 0 0
509.0000 267.9018 3.7992 0 0
508.0000 267.8011 3.8145 0 0
507.0000 267.7400 3.8433 0 0
506.0000 267.6376 3.8414 0 0
505.0000 267.5213 3.8147 0 0
504.0000 267.4300 3.6985 0 0
503.0000 267.2620 3.5805 0 0
502.0000 267.1733 3.4840 0 0
501.0000 267.1177 3.3970 0 0
500.0000 267.0232 3.3104 0 0
499.0000 266.8955 3.1524 0 0
498.0000 266.8257 2.9871 0 0
497.0000 266.7163 2.7367 0 0
496.0000 266.7573 2.4512 0 0
495.0000 266.7200 2.2146 0 0
494.0000 266.7111 2.0207 0 0
493.0000 266.7300 1.9091 0 0
492.0000 266.7708 1.8258 0 0
491.0000 266.6729 1.7314 0 0
490.0000 266.5900 1.6516 0 0
489.0000 266.5575 1.5764 0 0
488.0000 266.4415 1.4303 0 0
487.0000 266.3219 1.2741 0 0
486.0000 266.2577 1.1445 0 0
485.0000 266.1800 1.0487 0 0
484.0000 266.1312 0.9695 0 0
483.0000 266.1152 0.9168 0 0
482.0000 266.0007 0.8694 0 0
481.0000 265.8997 0.8347 0 0
