P[hPa] T[K] Qv[g/kg] U[m/s] V[m/s]
558.0000 270.1063 3.2289 0 0
557.0000 270.0525 3.2542 0 0
556.0000 270.0890 3.2375 0 0
555.0000 269.8716 3.2224 0 0
554.0000 269.7669 3.1979 0 0
553.0000 269.8155 3.2510 0 0
552.0000 269.9538 3.2294 0 0
551.0000 269.9631 3.2500 0 0
550.0000 269.9609 3.2681 0 0
549.0000 269.8016 3.2542 0 0
548.0000 269.5879 3.2290 0 0
547.0000 269.5088 3.2526 0 0
546.0000 269.3838 3.2640 0 0
545.0000 269.3043 3.3151 0 0
544.0000 269.2953 3.3459 0 0
543.0000 269.4775 3.3539 0 0
542.0000 269.4354 3.4307 0 0
541.0000 269.6335 3.4275 0 0
540.0000 269.5194 3.4119 0 0
539.0000 269.4925 3.2644 0 0
538.0000 269.3624 3.2200 0 0
537.0000 269.2506 3.1837 0 0
536.0000 269.0805 3.1459 0 0
535.0000 268.9939 3.1372 0 0
534.0000 268.8300 3.1156 0 0
533.0000 268.8050 3.1135 0 0
532.0000 268.6636 3.0761 0 0
531.0000 268.5746 3.0635 0 0
530.0000 268.3561 3.0257 0 0
529.0000 268.3072 2.9998 0 0
528.0000 268.0882 2.9518 0 0
527.0000 267.9305 2.9336 0 0
526.0000 267.7806 2.9241 0 0
525.0000 267.5794 2.8707 0 0
524.0000 267.4766 2.8450 0 0
523.0000 267.3849 2.8698 0 0
522.0000 267.2530 2.8233 0 0
521.0000 267.0526 2.7759 0 0
520.0000 266.9336 2.7516 0 0
519.0000 266.8424 2.7135 0 0
518.0000 266.7724 2.6874 0 0
517.0000 266.6630 2.7094 0 0
516.0000 266.6304 2.7289 0 0
515.0000 266.5014 2.7260 0 0
514.0000 266.3281 2.7128 0 0
513.0000 266.3175 2.6794 0 0
512.0000 266.1858 2.6398 0 0
511.0000 266.0882 2.6065 0 0
510.0000 265.9145 2.5753 0 0
509.0000 265.8688 2.5663 0 0
508.0000 265.7572 2.5625 0 0
507.0000 265.7299 2.5867 0 0
506.0000 265.6126 2.5691 0 0
505.0000 265.4853 2.5485 0 0
504.0000 265.4238 2.4498 0 0
503.0000 265.2745 2.3498 0 0
502.0000 265.0960 2.2679 0 0
501.0000 265.0184 2.2062 0 0
500.0000 264.9319 2.1209 0 0
499.0000 264.8026 1.9998 0 0
498.0000 264.8121 1.8600 0 0
497.0000 264.6207 1.6614 0 0
496.0000 264.5152 1.4489 0 0
495.0000 264.4955 1.2617 0 0
494.0000 264.5557 1.1110 0 0
493.0000 264.5134 1.0197 0 0
492.0000 264.4708 0.9606 0 0
491.0000 264.3681 0.8807 0 0
490.0000 264.2666 0.8170 0 0
489.0000 264.2745 0.7488 0 0
488.0000 264.1035 0.6355 0 0
487.0000 263.9731 0.5196 0 0
486.0000 263.8234 0.4219 0 0
485.0000 263.7725 0.3399 0 0
484.0000 263.7570 0.2706 0 0
483.0000 263.6734 0.2310 0 0
482.0000 263.5547 0.1923 0 0
481.0000 263.3892 0.1630 0 0
480.0000 263.3446 0.1032 0 0
479.0000 263.3129 0.0000 0 0
478.0000 263.3659 0.0000 0 0
477.0000 263.3333 0.0000 0 0
476.0000 263.3497 0.0000 0 0
475.0000 263.4582 0.0000 0 0
474.0000 263.4666 0.0000 0 0
473.0000 263.4716 0.0000 0 0
472.0000 263.6694 0.0000 0 0
471.0000 263.6546 0.0000 0 0
470.0000 263.6610 0.0000 0 0
469.0000 263.5946 0.0000 0 0
468.0000 263.5354 0.0000 0 0
467.0000 263.4762 0.0000 0 0
